"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"ABM_Unit4_model7.nlogox"
"social-influence-experiment"
"07/08/2026 16:45:24:111 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","broadcast","density","social","frac-influential","m","network","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with  [adopted?]"
"2","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"6","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"1","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"4","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"3","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","1","0","0","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","2","4","3","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","1","1","1","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","3","4","3","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","2","4","3","1"
"5","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"1","0.01","0.3","0.1","0.25","100","random","0.7","1","1","0","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","3","4","3","1"
"2","0.01","0.3","0.1","0.25","100","random","0.7","4","5","4","1"
"4","0.01","0.3","0.1","0.25","100","random","0.7","1","1","1","0"
"3","0.01","0.3","0.1","0.25","100","random","0.7","1","1","1","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","5","7","6","1"
"5","0.01","0.3","0.1","0.25","100","random","0.7","1","0","0","0"
"6","0.01","0.3","0.1","0.25","100","random","0.7","4","4","3","1"
"2","0.01","0.3","0.1","0.25","100","random","0.7","6","8","7","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","5","4","3","1"
"5","0.01","0.3","0.1","0.25","100","random","0.7","2","1","1","0"
"3","0.01","0.3","0.1","0.25","100","random","0.7","2","1","1","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","7","9","7","2"
"1","0.01","0.3","0.1","0.25","100","random","0.7","2","2","0","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","3","1","1","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","8","11","9","2"
"6","0.01","0.3","0.1","0.25","100","random","0.7","6","5","4","1"
"2","0.01","0.3","0.1","0.25","100","random","0.7","9","12","10","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","4","1","1","0"
"6","0.01","0.3","0.1","0.25","100","random","0.7","7","7","6","1"
"2","0.01","0.3","0.1","0.25","100","random","0.7","10","13","11","2"
"3","0.01","0.3","0.1","0.25","100","random","0.7","3","2","2","0"
"6","0.01","0.3","0.1","0.25","100","random","0.7","8","7","6","1"
"5","0.01","0.3","0.1","0.25","100","random","0.7","5","1","1","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","11","18","16","2"
"6","0.01","0.3","0.1","0.25","100","random","0.7","9","7","6","1"
"2","0.01","0.3","0.1","0.25","100","random","0.7","12","19","16","3"
"5","0.01","0.3","0.1","0.25","100","random","0.7","6","3","3","0"
"6","0.01","0.3","0.1","0.25","100","random","0.7","10","8","7","1"
"4","0.01","0.3","0.1","0.25","100","random","0.7","2","1","1","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","13","23","20","3"
"6","0.01","0.3","0.1","0.25","100","random","0.7","11","9","8","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","12","11","10","1"
"2","0.01","0.3","0.1","0.25","100","random","0.7","14","24","20","4"
"5","0.01","0.3","0.1","0.25","100","random","0.7","7","5","4","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","13","12","11","1"
